8286	0
17902	0
22149	0
8526	0
13585	0
11819	0
10213	0
9367	0
13977	0
3496	0
18363	0
18363	0
6867	0
13703	0
8154	0
11345	0
4995	0
8700	0
8700	0
8700	0
11346	0
12246	0
12246	0
15099	0
10047	0
15242	0
12494	0
11005	0
11005	0
8138	1
19227	0
5857	0
6964	0
7843	0
8695	0
8135	0
9114	0
9114	0
9114	0
3022	0
6727	0
14661	0
21149	0
4509	0
4931	0
7996	0
12136	0
18907	0
5995	0
8603	0
25646	0
6347	0
12017	0
24895	0
10641	0
10641	0
10641	0
4908	0
7151	0
7902	0
8265	0
13177	0
18311	1
15328	0
10146	0
11661	0
13612	0
14775	0
15322	0
15322	0
21049	0
14065	0
14065	0
8504	0
10837	0
5899	0
11290	0
13430	0
28498	0
30946	0
11566	0
11863	0
9470	0
10905	0
9340	0
9340	0
4066	0
4066	0
16266	0
28383	0
28358	0
28358	0
4363	0
12699	0
12672	0
14683	0
13275	0
13275	0
5363	0
17691	0
7259	0
6158	0
6158	0
4806	0
